"naam","uri_naam","uri_amco","amco","cbs_code","geonames","startjaar","eindjaar","provincie","regio"
"Het Bildt","http://www.gemeentegeschiedenis.nl/gemeentenaam/Het_Bildt","http://www.gemeentegeschiedenis.nl/amco/10128",10128,"63",2754301,"1816","heden","Friesland","noord"
"Blija","http://www.gemeentegeschiedenis.nl/gemeentenaam/Blija","http://www.gemeentegeschiedenis.nl/amco/10226",10226,NA,0,"oudsher","1816","Friesland","noord"
"Boarnsterhim","http://www.gemeentegeschiedenis.nl/gemeentenaam/Boarnsterhim","http://www.gemeentegeschiedenis.nl/amco/10815",10815,"55",2753394,"1985","heden","Friesland","noord"
"Bolsward","http://www.gemeentegeschiedenis.nl/gemeentenaam/Bolsward","http://www.gemeentegeschiedenis.nl/amco/10865",10865,"64",0,"oudsher","2011","Friesland","noord"
"Boornsterhem","http://www.gemeentegeschiedenis.nl/gemeentenaam/Boornsterhem","http://www.gemeentegeschiedenis.nl/amco/10815",10815,"57",0,"1984","1985","Friesland","noord"
"Bozum","http://www.gemeentegeschiedenis.nl/gemeentenaam/Bozum","http://www.gemeentegeschiedenis.nl/amco/10422",10422,NA,0,"oudsher","1816","Friesland","noord"
"Buitenpost","http://www.gemeentegeschiedenis.nl/gemeentenaam/Buitenpost","http://www.gemeentegeschiedenis.nl/amco/10199",10199,NA,0,"oudsher","1816","Friesland","noord"
"Burum","http://www.gemeentegeschiedenis.nl/gemeentenaam/Burum","http://www.gemeentegeschiedenis.nl/amco/10039",10039,NA,0,"oudsher","1816","Friesland","noord"
"Dantumadeel","http://www.gemeentegeschiedenis.nl/gemeentenaam/Dantumadeel","http://www.gemeentegeschiedenis.nl/amco/10650",10650,"65",0,"1816","2009","Friesland","noord"
"Dantumawoude","http://www.gemeentegeschiedenis.nl/gemeentenaam/Dantumawoude","http://www.gemeentegeschiedenis.nl/amco/10650",10650,NA,0,"oudsher","1816","Friesland","noord"
"Dokkum","http://www.gemeentegeschiedenis.nl/gemeentenaam/Dokkum","http://www.gemeentegeschiedenis.nl/amco/10198",10198,"66",0,"oudsher","1984","Friesland","noord"
"Dongeradeel","http://www.gemeentegeschiedenis.nl/gemeentenaam/Dongeradeel","http://www.gemeentegeschiedenis.nl/amco/10198",10198,"58",2749535,"1984","heden","Friesland","noord"
"Doniawerstal","http://www.gemeentegeschiedenis.nl/gemeentenaam/Doniawerstal","http://www.gemeentegeschiedenis.nl/amco/10086",10086,"67",0,"1816","1984","Friesland","noord"
"Drachten","http://www.gemeentegeschiedenis.nl/gemeentenaam/Drachten","http://www.gemeentegeschiedenis.nl/amco/10405",10405,NA,0,"oudsher","1816","Friesland","noord"
"Dronrijp","http://www.gemeentegeschiedenis.nl/gemeentenaam/Dronrijp","http://www.gemeentegeschiedenis.nl/amco/11315",11315,NA,0,"oudsher","1816","Friesland","noord"
