"amco","naam","uri_naam","uri_amco","cbs_code","geonames","startjaar","eindjaar","provincie","regio","gm_naam","cbscode","regio2"
10032,"Veenwouden","http://www.gemeentegeschiedenis.nl/gemeentenaam/Veenwouden","http://www.gemeentegeschiedenis.nl/amco/10032",NA,0,"oudsher","1816","Friesland","noord",NA,NA,NA
10033,"Montfoort","http://www.gemeentegeschiedenis.nl/gemeentenaam/Montfoort","http://www.gemeentegeschiedenis.nl/amco/10033","335",2750625,"oudsher","heden","Utrecht","west","Montfoort",335,"zuidwest"
10034,"Terborg","http://www.gemeentegeschiedenis.nl/gemeentenaam/Terborg","http://www.gemeentegeschiedenis.nl/amco/10034",NA,0,"oudsher","1818","Gelderland","oost",NA,NA,NA
10035,"Tienhoven [Ut]","http://www.gemeentegeschiedenis.nl/gemeentenaam/Tienhoven_Ut","http://www.gemeentegeschiedenis.nl/amco/10035","1202",0,"oudsher","1957","Utrecht","west","Tienhoven (U.)",1202,"zuidwest"
10036,"Balk","http://www.gemeentegeschiedenis.nl/gemeentenaam/Balk","http://www.gemeentegeschiedenis.nl/amco/10036",NA,0,"oudsher","1816","Friesland","noord","Gaasterland",71,"noordoost"
10036,"Gaasterlân-Sleat","http://www.gemeentegeschiedenis.nl/gemeentenaam/Gaasterlan-Sleat","http://www.gemeentegeschiedenis.nl/amco/10036","653",6544301,"1985","heden","Friesland","noord","Gaasterland",71,"noordoost"
10036,"Gaasterland","http://www.gemeentegeschiedenis.nl/gemeentenaam/Gaasterland","http://www.gemeentegeschiedenis.nl/amco/10036","71",0,"1816","1985","Friesland","noord","Gaasterland",71,"noordoost"
10037,"Gameren","http://www.gemeentegeschiedenis.nl/gemeentenaam/Gameren","http://www.gemeentegeschiedenis.nl/amco/10037","1058",0,"oudsher","1955","Gelderland","oost","Gameren",1058,"zuidwest"
10038,"Hoek","http://www.gemeentegeschiedenis.nl/gemeentenaam/Hoek","http://www.gemeentegeschiedenis.nl/amco/10038","674",0,"oudsher","1970","Zeeland","west","Hoek",674,"zuidwest"
10039,"Burum","http://www.gemeentegeschiedenis.nl/gemeentenaam/Burum","http://www.gemeentegeschiedenis.nl/amco/10039",NA,0,"oudsher","1816","Friesland","noord",NA,NA,NA
10040,"Zonnemaire","http://www.gemeentegeschiedenis.nl/gemeentenaam/Zonnemaire","http://www.gemeentegeschiedenis.nl/amco/10040","1236",0,"oudsher","1961","Zeeland","west","Zonnemaire",1236,"zuidwest"
10041,"Haarlemmerliede","http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlemmerliede","http://www.gemeentegeschiedenis.nl/amco/10041","1325",0,"1817","1857","Noord-Holland","west",NA,NA,NA
10042,"Wamel","http://www.gemeentegeschiedenis.nl/gemeentenaam/Wamel","http://www.gemeentegeschiedenis.nl/amco/10042","290",0,"oudsher","1985","Gelderland","oost","Wamel",290,"zuidoost"
10042,"West Maas en Waal","http://www.gemeentegeschiedenis.nl/gemeentenaam/West_Maas_en_Waal","http://www.gemeentegeschiedenis.nl/amco/10042","668",6544265,"1985","heden","Gelderland","oost","Wamel",290,"zuidoost"
10043,"Borssele","http://www.gemeentegeschiedenis.nl/gemeentenaam/Borssele","http://www.gemeentegeschiedenis.nl/amco/10043","1254",0,"oudsher","1970","Zeeland","west","Borssele",1254,"zuidwest"
10043,"Borsele","http://www.gemeentegeschiedenis.nl/gemeentenaam/Borsele","http://www.gemeentegeschiedenis.nl/amco/10043","654",2758588,"1970","heden","Zeeland","west","Borssele",1254,"zuidwest"
10044,"Haren en Macharen","http://www.gemeentegeschiedenis.nl/gemeentenaam/Haren_en_Macharen","http://www.gemeentegeschiedenis.nl/amco/10044","",0,"oudsher","1821","Noord-Brabant","zuid",NA,NA,NA
10045,"Sevenum","http://www.gemeentegeschiedenis.nl/gemeentenaam/Sevenum","http://www.gemeentegeschiedenis.nl/amco/10045","964",0,"1836","2010","Limburg","zuid","Sevenum",964,"zuidoost"
10046,"Moerdijk","http://www.gemeentegeschiedenis.nl/gemeentenaam/Moerdijk","http://www.gemeentegeschiedenis.nl/amco/10046","1709",6251995,"1998","heden","Noord-Brabant","zuid","Zevenbergen",878,"zuidwest"
10046,"Zevenbergen","http://www.gemeentegeschiedenis.nl/gemeentenaam/Zevenbergen","http://www.gemeentegeschiedenis.nl/amco/10046","878",0,"oudsher","1998","Noord-Brabant","zuid","Zevenbergen",878,"zuidwest"
10047,"Soerendonk, Sterksel en Gastel","http://www.gemeentegeschiedenis.nl/gemeentenaam/Soerendonk__Sterksel_en_Gastel","http://www.gemeentegeschiedenis.nl/amco/10047","1183",0,"1821","1925","Noord-Brabant","zuid","Soerendonk",1183,"zuidoost"
10047,"Soerendonk en Sterksel","http://www.gemeentegeschiedenis.nl/gemeentenaam/Soerendonk_en_Sterksel","http://www.gemeentegeschiedenis.nl/amco/10047","",0,"oudsher","1821","Noord-Brabant","zuid","Soerendonk",1183,"zuidoost"
10048,"Geleen","http://www.gemeentegeschiedenis.nl/gemeentenaam/Geleen","http://www.gemeentegeschiedenis.nl/amco/10048","906",0,"oudsher","2001","Limburg","zuid","Geleen",906,"zuidoost"
10049,"Huisseling en Neerloon","http://www.gemeentegeschiedenis.nl/gemeentenaam/Huisseling_en_Neerloon","http://www.gemeentegeschiedenis.nl/amco/10049","1088",0,"oudsher","1923","Noord-Brabant","zuid","Huisseling en Neerloon",1088,"zuidoost"
10050,"Lekkerkerk","http://www.gemeentegeschiedenis.nl/gemeentenaam/Lekkerkerk","http://www.gemeentegeschiedenis.nl/amco/10050","550",0,"oudsher","1985","Zuid-Holland","west","Lekkerkerk",550,"zuidwest"
10050,"Nederlek","http://www.gemeentegeschiedenis.nl/gemeentenaam/Nederlek","http://www.gemeentegeschiedenis.nl/amco/10050","643",6544281,"1985","heden","Zuid-Holland","west","Lekkerkerk",550,"zuidwest"
10051,"Rhijnauwen","http://www.gemeentegeschiedenis.nl/gemeentenaam/Rhijnauwen","http://www.gemeentegeschiedenis.nl/amco/10051","1360",0,"1818","1857","Utrecht","west",NA,NA,NA
10052,"'s-Gravendeel","http://www.gemeentegeschiedenis.nl/gemeentenaam/s-Gravendeel","http://www.gemeentegeschiedenis.nl/amco/10052","517",0,"oudsher","2007","Zuid-Holland","west","'s-Gravendeel",517,"zuidwest"
10053,"Cromvoirt","http://www.gemeentegeschiedenis.nl/gemeentenaam/Cromvoirt","http://www.gemeentegeschiedenis.nl/amco/10053","1039",0,"oudsher","1933","Noord-Brabant","zuid","Cromvoirt",1039,"zuidwest"
10054,"'s-Hertogenbosch","http://www.gemeentegeschiedenis.nl/gemeentenaam/s-Hertogenbosch","http://www.gemeentegeschiedenis.nl/amco/10054","796",0,"oudsher","heden","Noord-Brabant","zuid","'s-Hertogenbosch",796,"zuidwest"
10055,"Noordwelle","http://www.gemeentegeschiedenis.nl/gemeentenaam/Noordwelle","http://www.gemeentegeschiedenis.nl/amco/10055","1129",0,"oudsher","1961","Zeeland","west","Noordwelle",1129,"zuidwest"
10056,"Besoijen","http://www.gemeentegeschiedenis.nl/gemeentenaam/Besoijen","http://www.gemeentegeschiedenis.nl/amco/10056","1020",0,"oudsher","1922","Noord-Brabant","zuid","Besoijen",1020,"zuidwest"
10057,"Deil","http://www.gemeentegeschiedenis.nl/gemeentenaam/Deil","http://www.gemeentegeschiedenis.nl/amco/10057","217",0,"oudsher","1978","Gelderland","oost","Deil",217,"zuidwest"
10058,"Leiderdorp","http://www.gemeentegeschiedenis.nl/gemeentenaam/Leiderdorp","http://www.gemeentegeschiedenis.nl/amco/10058","547",2751770,"oudsher","heden","Zuid-Holland","west","Leiderdorp",547,"zuidwest"
10059,"Zuilen","http://www.gemeentegeschiedenis.nl/gemeentenaam/Zuilen","http://www.gemeentegeschiedenis.nl/amco/10059","1242",0,"oudsher","1954","Utrecht","west","Zuilen",1242,"zuidwest"
10060,"Baarle-Nassau","http://www.gemeentegeschiedenis.nl/gemeentenaam/Baarle-Nassau","http://www.gemeentegeschiedenis.nl/amco/10060","744",2759553,"oudsher","heden","Noord-Brabant","zuid","Baarle-Nassau",744,"zuidwest"
10061,"Dorth","http://www.gemeentegeschiedenis.nl/gemeentenaam/Dorth","http://www.gemeentegeschiedenis.nl/amco/10061","1313",0,"1818","1831","Gelderland","oost",NA,NA,NA
10062,"Amstenrade","http://www.gemeentegeschiedenis.nl/gemeentenaam/Amstenrade","http://www.gemeentegeschiedenis.nl/amco/10062","884",0,"oudsher","1982","Limburg","zuid","Amstenrade",884,"zuidoost"
10063,"Spanbroek","http://www.gemeentegeschiedenis.nl/gemeentenaam/Spanbroek","http://www.gemeentegeschiedenis.nl/amco/10063","1186",0,"oudsher","1959","Noord-Holland","west","Spanbroek",1186,"noordwest"
10064,"Schoonebeek","http://www.gemeentegeschiedenis.nl/gemeentenaam/Schoonebeek","http://www.gemeentegeschiedenis.nl/amco/10064","129",0,"1884","1998","Drenthe","noord",NA,NA,NA
10065,"Hoeven","http://www.gemeentegeschiedenis.nl/gemeentenaam/Hoeven","http://www.gemeentegeschiedenis.nl/amco/10065","799",0,"oudsher","1997","Noord-Brabant","zuid","Hoeven",799,"zuidwest"
10066,"Vierlingsbeek","http://www.gemeentegeschiedenis.nl/gemeentenaam/Vierlingsbeek","http://www.gemeentegeschiedenis.nl/amco/10066","863",0,"oudsher","1998","Noord-Brabant","zuid","Vierlingsbeek",863,"zuidoost"
10067,"Heerewaarden [2]","http://www.gemeentegeschiedenis.nl/gemeentenaam/Heerewaarden_2","http://www.gemeentegeschiedenis.nl/amco/10067","247",0,"1821","1999","Gelderland","oost","Heerewaarden",247,"zuidwest"
10067,"Heerewaarden [1]","http://www.gemeentegeschiedenis.nl/gemeentenaam/Heerewaarden_1","http://www.gemeentegeschiedenis.nl/amco/10067",NA,0,"oudsher","1818","Gelderland","oost","Heerewaarden",247,"zuidwest"
10068,"Druten","http://www.gemeentegeschiedenis.nl/gemeentenaam/Druten","http://www.gemeentegeschiedenis.nl/amco/10068","225",2756538,"oudsher","heden","Gelderland","oost","Druten",225,"zuidoost"
10069,"Doornspijk","http://www.gemeentegeschiedenis.nl/gemeentenaam/Doornspijk","http://www.gemeentegeschiedenis.nl/amco/10069","223",0,"oudsher","1974","Gelderland","oost","Doornspijk",223,"noordoost"
10070,"Duist","http://www.gemeentegeschiedenis.nl/gemeentenaam/Duist","http://www.gemeentegeschiedenis.nl/amco/10070","1314",0,"1818","1857","Utrecht","west",NA,NA,NA
10071,"Veldhoven","http://www.gemeentegeschiedenis.nl/gemeentenaam/Veldhoven","http://www.gemeentegeschiedenis.nl/amco/10071","861",2745704,"1921","heden","Noord-Brabant","zuid","Veldhoven en Meerveldhoven",1206,"zuidwest"
