my_medewerkersnummer,mijn_wijknaam,afdeling_kohier,kiesdistrict_GR1899,woningbouwvereniging
300,amsterdamse buurt,1,1,
301,rozenprieel,3,3,
302,burgwal,1,2,
303,kamp,3,3,
304,burgwal,1,2,
305,amsterdamse buurt,1,1,nut door spaarzaamheid
306,amsterdamse buurt,1,1,
307,burgwal,1,1,
308,amsterdamse buurt,1,1,ons doel en streven
309,rozenprieel,3,3,
310,burgwal,1,1,
311,kamp,3,3,
312,heiligland,3,3,
313,burgwal,1,1,
314,amsterdamse buurt,1,1,
315,rozenprieel,3,3,
316,amsterdamse buurt,1,1,ons doel en streven
317,amsterdamse buurt,1,1,ons doel en streven
318,rozenprieel,3,3,
319,amsterdamse buurt,1,1,
320,amsterdamse buurt,1,1,ons doel en streven
321,burgwal,1,1,
322,rozenprieel,3,3,
323,heiligland,3,3,
324,leidse buurt,4,3,
325,frans hals buurt,6,2,
326,rozenprieel,3,3,
327,rozenprieel,3,3,
328,amsterdamse buurt,1,1,
329,amsterdamse buurt,1,1,ons doel en streven
330,burgwal,1,2,
331,amsterdamse buurt,1,1,ons doel en streven
332,stationsbuurt,6,2,
333,amsterdamse buurt,1,1,
334,schoten,0,0,
335,amsterdamse buurt,1,1,
336,rozenprieel,3,3,
337,bakenes,2,2,
338,schoten,0,0,
339,rozenprieel,3,3,
340,burgwal,1,2,
341,burgwal,1,1,
342,amsterdamse buurt,1,1,nut door spaarzaamheid
343,zijlweg,5,2,
344,leidse buurt,4,3,
345,burgwal,1,2,
346,amsterdamse buurt,1,1,
347,centrum,5,2,
348,rozenprieel,3,3,
349,centrum,5,1,
350,burgwal,1,2,
351,burgwal,1,1,
352,amsterdamse buurt,1,1,
353,rozenprieel,3,3,
354,amsterdamse buurt,1,1,
355,bloemendaal,0,0,
356,leidse buurt,4,3,
357,haarlemmerliede,0,0,
358,rozenprieel,3,3,
359,amsterdamse buurt,1,1,
360,amsterdamse buurt,1,1,
361,burgwal,1,1,
362,amsterdamse buurt,1,1,
363,schoten,0,0,
364,frans hals buurt,6,2,
365,burgwal,1,2,
366,heiligland,3,3,
367,centrum,5,2,
368,rozenprieel,3,3,
369,hout,4,3,
370,zijlweg,5,2,
371,rozenprieel,3,3,
372,burgwal,1,2,
373,bakenes,2,2,
374,centrum,2,1,
375,amsterdamse buurt,1,1,
376,zijlweg,5,2,
377,frans hals buurt,6,2,
378,amsterdamse buurt,1,1,
379,rozenprieel,3,3,
380,zijlweg,5,1,
381,burgwal,1,2,
382,amsterdamse buurt,1,1,
383,amsterdamse buurt,1,1,
384,heiligland,3,3,
385,burgwal,1,2,
386,frans hals buurt,6,2,
387,amsterdamse buurt,1,1,
388,amsterdamse buurt,1,1,
389,centrum,5,2,
390,amsterdamse buurt,1,1,
391,centrum,5,2,
392,centrum,5,1,
393,amsterdamse buurt,1,1,
394,burgwal,1,2,
395,amsterdamse buurt,1,1,
396,rozenprieel,3,3,
397,amsterdamse buurt,1,1,
398,rozenprieel,3,3,
399,stationsbuurt,6,2,
400,burgwal,1,2,
401,amsterdamse buurt,1,1,
402,zijlweg,6,2,
403,amsterdamse buurt,1,1,
404,burgwal,1,1,
405,amsterdamse buurt,1,1,
406,burgwal,1,1,
407,amsterdamse buurt,1,1,
408,bakenes,2,1,
409,stationsbuurt,6,2,
412,burgwal,1,1,
413,burgwal,1,2,
414,kamp,3,3,
415,heemstede,0,0,
416,leidse buurt,4,3,
417,burgwal,1,1,
418,burgwal,1,1,
419,amsterdamse buurt,1,1,
420,amsterdamse buurt,1,1,
421,amsterdamse buurt,1,1,nut door spaarzaamheid
422,amsterdamse buurt,1,1,
423,heiligland,3,3,
424,vijfhoek,4,3,
426,amsterdamse buurt,1,1,
427,bakenes,2,2,
428,amsterdamse buurt,1,1,
429,rozenprieel,3,3,
430,frans hals buurt,6,2,
431,amsterdamse buurt,1,1,
432,rozenprieel,3,3,
433,amsterdamse buurt,1,1,
434,centrum,5,1,
435,amsterdamse buurt,1,1,
436,amsterdamse buurt,1,1,
437,burgwal,1,1,
438,vijfhoek,4,3,
439,burgwal,1,1,
440,bakenes,2,2,
441,vijfhoek,4,3,
442,rozenprieel,3,3,
443,burgwal,1,1,
444,burgwal,1,1,
445,burgwal,1,1,
447,amsterdamse buurt,1,1,
448,centrum,4,1,
449,bakenes,2,1,
450,burgwal,1,1,
451,heemstede,0,0,
452,amsterdamse buurt,1,1,
453,kamp,3,3,
454,stationsbuurt,6,2,
455,leidse buurt,4,3,
456,amsterdamse buurt,1,1,
457,burgwal,1,2,
458,rozenprieel,3,3,
459,kamp,3,3,
460,rozenprieel,3,3,
461,amsterdamse buurt,1,1,
462,vijfhoek,4,3,
463,burgwal,1,1,
464,amsterdamse buurt,1,1,
465,rozenprieel,3,3,
466,bakenes,2,2,
467,amsterdamse buurt,1,1,nut door spaarzaamheid
469,centrum,5,1,
470,rozenprieel,3,3,
471,burgwal,1,2,
472,amsterdamse buurt,1,1,
473,amsterdamse buurt,1,1,
474,amsterdamse buurt,1,1,
475,amsterdamse buurt,1,1,
476,amsterdamse buurt,1,1,
477,rozenprieel,3,3,
478,centrum,5,1,
479,burgwal,1,1,
480,bakenes,2,2,
481,schoten,0,0,
482,burgwal,1,1,
483,rozenprieel,3,3,
484,rozenprieel,3,3,
485,amsterdamse buurt,1,1,
486,amsterdamse buurt,1,1,
487,burgwal,1,1,
488,rozenprieel,3,3,
489,amsterdamse buurt,1,1,ons doel en streven
490,burgwal,1,1,
491,amsterdamse buurt,1,1,
492,rozenprieel,3,3,
493,rozenprieel,3,3,
494,amsterdamse buurt,1,1,ons doel en streven
495,schoten,0,0,
496,burgwal,1,1,
497,rozenprieel,3,3,
498,amsterdamse buurt,1,1,ons doel en streven
499,rozenprieel,3,3,
500,rozenprieel,3,3,
501,rozenprieel,3,3,
502,burgwal,1,1,
503,amsterdamse buurt,1,1,ons doel en streven
504,amsterdamse buurt,1,1,ons doel en streven
505,burgwal,1,1,
506,rozenprieel,3,3,
507,burgwal,1,2,
508,amsterdamse buurt,1,1,ons doel en streven
509,burgwal,1,2,
510,heiligland,3,3,
511,burgwal,1,2,
512,amsterdamse buurt,1,1,ons doel en streven
514,amsterdamse buurt,1,1,ons doel en streven
515,amsterdamse buurt,1,1,
516,amsterdamse buurt,1,1,
517,bakenes,2,2,
518,stationsbuurt,6,2,
519,burgwal,1,2,
