my_medewerkersnummer,uri_naam
126,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
127,http://www.gemeentegeschiedenis.nl/gemeentenaam/Middelburg_Ze
128,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
129,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
130,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
131,http://www.gemeentegeschiedenis.nl/gemeentenaam/Dordrecht
132,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
133,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
134,http://www.gemeentegeschiedenis.nl/gemeentenaam/Borne
135,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
136,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
137,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
138,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
139,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
140,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
141,http://www.gemeentegeschiedenis.nl/gemeentenaam/Driebergen
142,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
143,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
144,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
145,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
146,http://www.gemeentegeschiedenis.nl/gemeentenaam/Heemstede
147,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlemmerliede_en_Spaarnwoude
148,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
149,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
150,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
151,http://www.gemeentegeschiedenis.nl/gemeentenaam/Amsterdam
152,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
153,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
154,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
155,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
156,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
157,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlemmerliede_en_Spaarnwoude
158,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
159,http://www.gemeentegeschiedenis.nl/gemeentenaam/Bloemendaal
160,http://www.gemeentegeschiedenis.nl/gemeentenaam/Middelburg_Ze
161,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
162,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
163,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
164,http://www.gemeentegeschiedenis.nl/gemeentenaam/Amsterdam
165,http://www.gemeentegeschiedenis.nl/gemeentenaam/Sloten_NH
166,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
167,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
168,http://www.gemeentegeschiedenis.nl/gemeentenaam/Tilburg
169,http://www.gemeentegeschiedenis.nl/gemeentenaam/Heemstede
170,http://www.gemeentegeschiedenis.nl/gemeentenaam/Oudshoorn
171,http://www.gemeentegeschiedenis.nl/gemeentenaam/Den_Helder
172,http://www.gemeentegeschiedenis.nl/gemeentenaam/Zaandam
173,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
174,http://www.gemeentegeschiedenis.nl/gemeentenaam/Den_Helder
175,http://www.gemeentegeschiedenis.nl/gemeentenaam/Den_Helder
176,http://www.gemeentegeschiedenis.nl/gemeentenaam/Nieuwendam
177,http://www.gemeentegeschiedenis.nl/gemeentenaam/Den_Helder
178,http://www.gemeentegeschiedenis.nl/gemeentenaam/Sneek
179,http://www.gemeentegeschiedenis.nl/gemeentenaam/Nieuwendam
180,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
181,http://www.gemeentegeschiedenis.nl/gemeentenaam/Nieuw-Helvoet
182,http://www.gemeentegeschiedenis.nl/gemeentenaam/Den_Helder
183,http://www.gemeentegeschiedenis.nl/gemeentenaam/Berkhout
184,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
185,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
186,http://www.gemeentegeschiedenis.nl/gemeentenaam/Heemstede
187,http://www.gemeentegeschiedenis.nl/gemeentenaam/Texel
188,http://www.gemeentegeschiedenis.nl/gemeentenaam/Hoorn
189,http://www.gemeentegeschiedenis.nl/gemeentenaam/Zaandam
190,http://www.gemeentegeschiedenis.nl/gemeentenaam/Nieuwendam
191,http://www.gemeentegeschiedenis.nl/gemeentenaam/Urk
192,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
193,http://www.gemeentegeschiedenis.nl/gemeentenaam/s-Hertogenbosch
194,http://www.gemeentegeschiedenis.nl/gemeentenaam/Philippine
195,http://www.gemeentegeschiedenis.nl/gemeentenaam/Delft
196,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
197,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
198,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
199,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
200,http://www.gemeentegeschiedenis.nl/gemeentenaam/Amsterdam
201,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
202,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
203,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
204,http://www.gemeentegeschiedenis.nl/gemeentenaam/Kampen
205,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
206,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
207,http://www.gemeentegeschiedenis.nl/gemeentenaam/Amersfoort
208,http://www.gemeentegeschiedenis.nl/gemeentenaam/s-Hertogenbosch
209,http://www.gemeentegeschiedenis.nl/gemeentenaam/s-Hertogenbosch
210,http://www.gemeentegeschiedenis.nl/gemeentenaam/Dordrecht
211,Duitsland
212,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
213,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
214,http://www.gemeentegeschiedenis.nl/gemeentenaam/Maastricht
215,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
216,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
217,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
218,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
219,http://www.gemeentegeschiedenis.nl/gemeentenaam/Amsterdam
220,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
221,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
222,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
223,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
224,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
225,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
226,http://www.gemeentegeschiedenis.nl/gemeentenaam/Amsterdam
227,http://www.gemeentegeschiedenis.nl/gemeentenaam/s-Hertogenbosch
228,http://www.gemeentegeschiedenis.nl/gemeentenaam/Bolsward
229,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
230,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
231,http://www.gemeentegeschiedenis.nl/gemeentenaam/Den_Helder
232,http://www.gemeentegeschiedenis.nl/gemeentenaam/s-Gravenhage
234,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
235,http://www.gemeentegeschiedenis.nl/gemeentenaam/Amsterdam
236,http://www.gemeentegeschiedenis.nl/gemeentenaam/Zierikzee
237,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
238,http://www.gemeentegeschiedenis.nl/gemeentenaam/Krommenie
239,http://www.gemeentegeschiedenis.nl/gemeentenaam/Amsterdam
240,http://www.gemeentegeschiedenis.nl/gemeentenaam/Den_Helder
241,http://www.gemeentegeschiedenis.nl/gemeentenaam/Hoogezand
242,http://www.gemeentegeschiedenis.nl/gemeentenaam/Sneek
244,http://www.gemeentegeschiedenis.nl/gemeentenaam/s-Gravenhage
245,http://www.gemeentegeschiedenis.nl/gemeentenaam/Groningen
246,http://www.gemeentegeschiedenis.nl/gemeentenaam/Leiden
247,http://www.gemeentegeschiedenis.nl/gemeentenaam/Joure
248,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
249,http://www.gemeentegeschiedenis.nl/gemeentenaam/Spaarndam
250,http://www.gemeentegeschiedenis.nl/gemeentenaam/Gouda
251,http://www.gemeentegeschiedenis.nl/gemeentenaam/Goes
252,http://www.gemeentegeschiedenis.nl/gemeentenaam/Amsterdam
253,http://www.gemeentegeschiedenis.nl/gemeentenaam/Bloemendaal
254,http://www.gemeentegeschiedenis.nl/gemeentenaam/Gouda
255,http://www.gemeentegeschiedenis.nl/gemeentenaam/Amsterdam
256,http://www.gemeentegeschiedenis.nl/gemeentenaam/Tilburg
257,http://www.gemeentegeschiedenis.nl/gemeentenaam/Amsterdam
258,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
259,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
261,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
262,http://www.gemeentegeschiedenis.nl/gemeentenaam/Rotterdam
263,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
264,http://www.gemeentegeschiedenis.nl/gemeentenaam/Nieuwer-Amstel
265,http://www.gemeentegeschiedenis.nl/gemeentenaam/Tilburg
266,http://www.gemeentegeschiedenis.nl/gemeentenaam/Spaarndam
267,http://www.gemeentegeschiedenis.nl/gemeentenaam/Roosendaal
268,http://www.gemeentegeschiedenis.nl/gemeentenaam/Nijmegen
269,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
270,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
271,http://www.gemeentegeschiedenis.nl/gemeentenaam/Dordrecht
272,http://www.gemeentegeschiedenis.nl/gemeentenaam/Graft
273,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlemmerliede_en_Spaarnwoude
274,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
275,http://www.gemeentegeschiedenis.nl/gemeentenaam/Sneek
276,http://www.gemeentegeschiedenis.nl/gemeentenaam/Breda
277,http://www.gemeentegeschiedenis.nl/gemeentenaam/Spaarndam
278,http://www.gemeentegeschiedenis.nl/gemeentenaam/Oldebroek
279,http://www.gemeentegeschiedenis.nl/gemeentenaam/Utrecht
280,http://www.gemeentegeschiedenis.nl/gemeentenaam/Rotterdam
281,Duitsland
282,http://www.gemeentegeschiedenis.nl/gemeentenaam/Franekeradeel
