naam,uri_naam,uri_amco,amco,cbs_code,geonames,startjaar,eindjaar,provincie
Katwoude,http://www.gemeentegeschiedenis.nl/gemeentenaam/Katwoude,http://www.gemeentegeschiedenis.nl/amco/11136,11136,409,0,1817,1991,Noord-Holland
Koedijk,http://www.gemeentegeschiedenis.nl/gemeentenaam/Koedijk,http://www.gemeentegeschiedenis.nl/amco/10510,10510,410,0,oudsher,1972,Noord-Holland
Koggenland,http://www.gemeentegeschiedenis.nl/gemeentenaam/Koggenland,http://www.gemeentegeschiedenis.nl/amco/10354,10354,1598,6544220,2007,heden,Noord-Holland
Koog aan de Zaan,http://www.gemeentegeschiedenis.nl/gemeentenaam/Koog_aan_de_Zaan,http://www.gemeentegeschiedenis.nl/amco/10776,10776,411,0,oudsher,1974,Noord-Holland
Kortenhoef,http://www.gemeentegeschiedenis.nl/gemeentenaam/Kortenhoef,http://www.gemeentegeschiedenis.nl/amco/10467,10467,1097,0,oudsher,1966,Noord-Holland
Krommenie,http://www.gemeentegeschiedenis.nl/gemeentenaam/Krommenie,http://www.gemeentegeschiedenis.nl/amco/10373,10373,413,0,oudsher,1974,Noord-Holland
Kwadijk,http://www.gemeentegeschiedenis.nl/gemeentenaam/Kwadijk,http://www.gemeentegeschiedenis.nl/amco/10775,10775,414,0,1817,1970,Noord-Holland
Landsmeer,http://www.gemeentegeschiedenis.nl/gemeentenaam/Landsmeer,http://www.gemeentegeschiedenis.nl/amco/11225,11225,415,2751979,oudsher,heden,Noord-Holland
Langedijk,http://www.gemeentegeschiedenis.nl/gemeentenaam/Langedijk,http://www.gemeentegeschiedenis.nl/amco/10955,10955,416,2751962,1941,heden,Noord-Holland
Laren [NH],http://www.gemeentegeschiedenis.nl/gemeentenaam/Laren_NH,http://www.gemeentegeschiedenis.nl/amco/10649,10649,417,2751873,oudsher,heden,Noord-Holland
Limmen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Limmen,http://www.gemeentegeschiedenis.nl/amco/11370,11370,418,0,1817,2002,Noord-Holland
Marken,http://www.gemeentegeschiedenis.nl/gemeentenaam/Marken,http://www.gemeentegeschiedenis.nl/amco/10901,10901,419,0,oudsher,1991,Noord-Holland
Medemblik,http://www.gemeentegeschiedenis.nl/gemeentenaam/Medemblik,http://www.gemeentegeschiedenis.nl/amco/11215,11215,420,2751072,oudsher,heden,Noord-Holland
