naam,uri_naam,uri_amco,amco,cbs_code,geonames,startjaar,eindjaar,provincie
Gendt,http://www.gemeentegeschiedenis.nl/gemeentenaam/Gendt,http://www.gemeentegeschiedenis.nl/amco/10440,10440,238,0,oudsher,2001,Gelderland
Gorssel,http://www.gemeentegeschiedenis.nl/gemeentenaam/Gorssel,http://www.gemeentegeschiedenis.nl/amco/10085,10085,239,0,oudsher,2005,Gelderland
Groenlo,http://www.gemeentegeschiedenis.nl/gemeentenaam/Groenlo,http://www.gemeentegeschiedenis.nl/amco/11094,11094,240,0,oudsher,2006,Gelderland
Groesbeek,http://www.gemeentegeschiedenis.nl/gemeentenaam/Groesbeek,http://www.gemeentegeschiedenis.nl/amco/10616,10616,241,2755270,oudsher,heden,Gelderland
Haaften,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haaften,http://www.gemeentegeschiedenis.nl/amco/10125,10125,242,0,1818,1978,Gelderland
Harderwijk,http://www.gemeentegeschiedenis.nl/gemeentenaam/Harderwijk,http://www.gemeentegeschiedenis.nl/amco/10786,10786,243,2754846,oudsher,heden,Gelderland
Hattem,http://www.gemeentegeschiedenis.nl/gemeentenaam/Hattem,http://www.gemeentegeschiedenis.nl/amco/10673,10673,244,2754767,oudsher,heden,Gelderland
Hedel,http://www.gemeentegeschiedenis.nl/gemeentenaam/Hedel,http://www.gemeentegeschiedenis.nl/amco/10982,10982,245,0,oudsher,1999,Gelderland
Heerde,http://www.gemeentegeschiedenis.nl/gemeentenaam/Heerde,http://www.gemeentegeschiedenis.nl/amco/10291,10291,246,2754680,oudsher,heden,Gelderland
's-Heerenberg,http://www.gemeentegeschiedenis.nl/gemeentenaam/s-Heerenberg,http://www.gemeentegeschiedenis.nl/amco/10350,10350,,0,oudsher,1821,Gelderland
Heerewaarden [1],http://www.gemeentegeschiedenis.nl/gemeentenaam/Heerewaarden_1,http://www.gemeentegeschiedenis.nl/amco/10067,10067,,0,oudsher,1818,Gelderland
Heerewaarden [2],http://www.gemeentegeschiedenis.nl/gemeentenaam/Heerewaarden_2,http://www.gemeentegeschiedenis.nl/amco/10067,10067,247,0,1821,1999,Gelderland
Hemmen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Hemmen,http://www.gemeentegeschiedenis.nl/amco/11162,11162,1076,0,oudsher,1955,Gelderland
Hengelo [Ge],http://www.gemeentegeschiedenis.nl/gemeentenaam/Hengelo_Ge,http://www.gemeentegeschiedenis.nl/amco/10359,10359,248,0,oudsher,2005,Gelderland
Hernen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Hernen,http://www.gemeentegeschiedenis.nl/amco/10528,10528,,0,oudsher,1818,Gelderland
Herveld,http://www.gemeentegeschiedenis.nl/gemeentenaam/Herveld,http://www.gemeentegeschiedenis.nl/amco/10444,10444,,0,oudsher,1818,Gelderland
Herwen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Herwen,http://www.gemeentegeschiedenis.nl/amco/10819,10819,,0,oudsher,1818,Gelderland
Herwen en Aerdt,http://www.gemeentegeschiedenis.nl/gemeentenaam/Herwen_en_Aerdt,http://www.gemeentegeschiedenis.nl/amco/10819,10819,249,0,1818,1985,Gelderland
Herwijnen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Herwijnen,http://www.gemeentegeschiedenis.nl/amco/11266,11266,250,0,oudsher,1986,Gelderland
Heteren,http://www.gemeentegeschiedenis.nl/gemeentenaam/Heteren,http://www.gemeentegeschiedenis.nl/amco/10290,10290,251,0,oudsher,2001,Gelderland
Heumen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Heumen,http://www.gemeentegeschiedenis.nl/amco/10600,10600,252,2754146,oudsher,heden,Gelderland
Heusden [Ge],http://www.gemeentegeschiedenis.nl/gemeentenaam/Heusden_Ge,http://www.gemeentegeschiedenis.nl/amco/10916,10916,,0,oudsher,1818,Gelderland
Hien en Dodewaard,http://www.gemeentegeschiedenis.nl/gemeentenaam/Hien_en_Dodewaard,http://www.gemeentegeschiedenis.nl/amco/10647,10647,,0,oudsher,1818,Gelderland
Hoevelaken,http://www.gemeentegeschiedenis.nl/gemeentenaam/Hoevelaken,http://www.gemeentegeschiedenis.nl/amco/11358,11358,253,0,oudsher,2000,Gelderland
Horssen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Horssen,http://www.gemeentegeschiedenis.nl/amco/10607,10607,254,0,oudsher,1984,Gelderland
Huissen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Huissen,http://www.gemeentegeschiedenis.nl/amco/11047,11047,255,0,oudsher,2001,Gelderland
Hummelo,http://www.gemeentegeschiedenis.nl/gemeentenaam/Hummelo,http://www.gemeentegeschiedenis.nl/amco/11235,11235,,0,oudsher,1818,Gelderland
Hummelo en Keppel,http://www.gemeentegeschiedenis.nl/gemeentenaam/Hummelo_en_Keppel,http://www.gemeentegeschiedenis.nl/amco/11235,11235,256,0,1818,2005,Gelderland
Hurwenen [1],http://www.gemeentegeschiedenis.nl/gemeentenaam/Hurwenen_1,http://www.gemeentegeschiedenis.nl/amco/11432,11432,,0,oudsher,1818,Gelderland
