naam,uri_naam,uri_amco,amco,cbs_code,geonames,startjaar,eindjaar,provincie
Rijssen-Holten,http://www.gemeentegeschiedenis.nl/gemeentenaam/Rijssen-Holten,http://www.gemeentegeschiedenis.nl/amco/10358,10358,1742,6544230,2003,heden,Overijssel
Schokland,http://www.gemeentegeschiedenis.nl/gemeentenaam/Schokland,http://www.gemeentegeschiedenis.nl/amco/11189,11189,1369,0,oudsher,1859,Overijssel
Stad Almelo,http://www.gemeentegeschiedenis.nl/gemeentenaam/Stad_Almelo,http://www.gemeentegeschiedenis.nl/amco/11053,11053,1189,0,1818,1914,Overijssel
Stad Delden,http://www.gemeentegeschiedenis.nl/gemeentenaam/Stad_Delden,http://www.gemeentegeschiedenis.nl/amco/10913,10913,179,0,1818,2001,Overijssel
Stad Hardenberg,http://www.gemeentegeschiedenis.nl/gemeentenaam/Stad_Hardenberg,http://www.gemeentegeschiedenis.nl/amco/11169,11169,1191,0,1818,1941,Overijssel
Stad Ommen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Stad_Ommen,http://www.gemeentegeschiedenis.nl/amco/10381,10381,1192,0,1818,1923,Overijssel
Stad Vollenhove,http://www.gemeentegeschiedenis.nl/gemeentenaam/Stad_Vollenhove,http://www.gemeentegeschiedenis.nl/amco/11183,11183,1193,0,1818,1942,Overijssel
Staphorst,http://www.gemeentegeschiedenis.nl/gemeentenaam/Staphorst,http://www.gemeentegeschiedenis.nl/amco/11362,11362,180,2746837,oudsher,heden,Overijssel
Steenwijk,http://www.gemeentegeschiedenis.nl/gemeentenaam/Steenwijk,http://www.gemeentegeschiedenis.nl/amco/10546,10546,181,0,oudsher,2003,Overijssel
Steenwijkerland,http://www.gemeentegeschiedenis.nl/gemeentenaam/Steenwijkerland,http://www.gemeentegeschiedenis.nl/amco/10546,10546,1708,6544235,2003,heden,Overijssel
Steenwijkerwold,http://www.gemeentegeschiedenis.nl/gemeentenaam/Steenwijkerwold,http://www.gemeentegeschiedenis.nl/amco/11347,11347,182,0,oudsher,1973,Overijssel
Tubbergen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Tubbergen,http://www.gemeentegeschiedenis.nl/amco/10694,10694,183,2746132,oudsher,heden,Overijssel
Twenterand,http://www.gemeentegeschiedenis.nl/gemeentenaam/Twenterand,http://www.gemeentegeschiedenis.nl/amco/10643,10643,1700,6544245,2002,heden,Overijssel
Vollenhove [1],http://www.gemeentegeschiedenis.nl/gemeentenaam/Vollenhove_1,http://www.gemeentegeschiedenis.nl/amco/11088,11088,,0,oudsher,1818,Overijssel
Vollenhove [2],http://www.gemeentegeschiedenis.nl/gemeentenaam/Vollenhove_2,http://www.gemeentegeschiedenis.nl/amco/11088,11088,185,0,1942,1973,Overijssel
Vriezenveen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Vriezenveen,http://www.gemeentegeschiedenis.nl/amco/10643,10643,186,0,oudsher,2002,Overijssel
Wanneperveen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Wanneperveen,http://www.gemeentegeschiedenis.nl/amco/10105,10105,187,0,oudsher,1973,Overijssel
Weerselo,http://www.gemeentegeschiedenis.nl/gemeentenaam/Weerselo,http://www.gemeentegeschiedenis.nl/amco/10893,10893,188,0,oudsher,2001,Overijssel
Wierden,http://www.gemeentegeschiedenis.nl/gemeentenaam/Wierden,http://www.gemeentegeschiedenis.nl/amco/10676,10676,189,2744548,oudsher,heden,Overijssel
Wijhe,http://www.gemeentegeschiedenis.nl/gemeentenaam/Wijhe,http://www.gemeentegeschiedenis.nl/amco/10888,10888,190,0,oudsher,2001,Overijssel
Wilsum,http://www.gemeentegeschiedenis.nl/gemeentenaam/Wilsum,http://www.gemeentegeschiedenis.nl/amco/10194,10194,1227,0,oudsher,1937,Overijssel
Zalk en Veecaten,http://www.gemeentegeschiedenis.nl/gemeentenaam/Zalk_en_Veecaten,http://www.gemeentegeschiedenis.nl/amco/10633,10633,1232,0,oudsher,1937,Overijssel
Zwartewaterland,http://www.gemeentegeschiedenis.nl/gemeentenaam/Zwartewaterland,http://www.gemeentegeschiedenis.nl/amco/10746,10746,1896,6544260,2001,heden,Overijssel
Zwartsluis,http://www.gemeentegeschiedenis.nl/gemeentenaam/Zwartsluis,http://www.gemeentegeschiedenis.nl/amco/10303,10303,192,0,oudsher,2001,Overijssel
Zwolle,http://www.gemeentegeschiedenis.nl/gemeentenaam/Zwolle,http://www.gemeentegeschiedenis.nl/amco/10093,10093,193,2743476,oudsher,heden,Overijssel
Zwollerkerspel,http://www.gemeentegeschiedenis.nl/gemeentenaam/Zwollerkerspel,http://www.gemeentegeschiedenis.nl/amco/10654,10654,1245,0,oudsher,1967,Overijssel
