naam,uri_naam,uri_amco,amco,cbs_code,geonames,startjaar,eindjaar,provincie
Polsbroek [1],http://www.gemeentegeschiedenis.nl/gemeentenaam/Polsbroek_1,http://www.gemeentegeschiedenis.nl/amco/10993,10993,,0,oudsher,1818,Utrecht
Polsbroek [2],http://www.gemeentegeschiedenis.nl/gemeentenaam/Polsbroek_2,http://www.gemeentegeschiedenis.nl/amco/10993,10993,338,0,1857,1989,Utrecht
Portengen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Portengen,http://www.gemeentegeschiedenis.nl/amco/10016,10016,1359,0,1818,1857,Utrecht
Renswoude,http://www.gemeentegeschiedenis.nl/gemeentenaam/Renswoude,http://www.gemeentegeschiedenis.nl/amco/10269,10269,339,2748227,oudsher,heden,Utrecht
Rhenen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Rhenen,http://www.gemeentegeschiedenis.nl/amco/10309,10309,340,2748184,oudsher,heden,Utrecht
Rhijnauwen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Rhijnauwen,http://www.gemeentegeschiedenis.nl/amco/10051,10051,1360,0,1818,1857,Utrecht
Rijsenburg,http://www.gemeentegeschiedenis.nl/gemeentenaam/Rijsenburg,http://www.gemeentegeschiedenis.nl/amco/10613,10613,1166,0,1818,1931,Utrecht
De Ronde Venen,http://www.gemeentegeschiedenis.nl/gemeentenaam/De_Ronde_Venen,http://www.gemeentegeschiedenis.nl/amco/11379,11379,736,6544250,1989,heden,Utrecht
Ruwiel,http://www.gemeentegeschiedenis.nl/gemeentenaam/Ruwiel,http://www.gemeentegeschiedenis.nl/amco/10526,10526,1164,0,1818,1964,Utrecht
Schalkwijk,http://www.gemeentegeschiedenis.nl/gemeentenaam/Schalkwijk,http://www.gemeentegeschiedenis.nl/amco/10378,10378,1169,0,oudsher,1962,Utrecht
Schonauwen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Schonauwen,http://www.gemeentegeschiedenis.nl/amco/11098,11098,1370,0,1818,1857,Utrecht
Snelrewaard,http://www.gemeentegeschiedenis.nl/gemeentenaam/Snelrewaard,http://www.gemeentegeschiedenis.nl/amco/10802,10802,341,0,1817,1989,Utrecht
Soest,http://www.gemeentegeschiedenis.nl/gemeentenaam/Soest,http://www.gemeentegeschiedenis.nl/amco/11021,11021,342,2747033,oudsher,heden,Utrecht
Sterkenburg,http://www.gemeentegeschiedenis.nl/gemeentenaam/Sterkenburg,http://www.gemeentegeschiedenis.nl/amco/10697,10697,1377,0,1818,1857,Utrecht
Stichtse Vecht,http://www.gemeentegeschiedenis.nl/gemeentenaam/Stichtse_Vecht,http://www.gemeentegeschiedenis.nl/amco/10191,10191,1904,8260047,2011,heden,Utrecht
Stichts Loenen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Stichts_Loenen,http://www.gemeentegeschiedenis.nl/amco/11202,11202,,,1817,1820,Utrecht
Stoutenburg,http://www.gemeentegeschiedenis.nl/gemeentenaam/Stoutenburg,http://www.gemeentegeschiedenis.nl/amco/10438,10438,343,0,1818,1969,Utrecht
Teckop,http://www.gemeentegeschiedenis.nl/gemeentenaam/Teckop,http://www.gemeentegeschiedenis.nl/amco/10499,10499,1382,0,1817,1857,Utrecht
Tienhoven [Ut],http://www.gemeentegeschiedenis.nl/gemeentenaam/Tienhoven_Ut,http://www.gemeentegeschiedenis.nl/amco/10035,10035,1202,0,oudsher,1957,Utrecht
Tolsteeg,http://www.gemeentegeschiedenis.nl/gemeentenaam/Tolsteeg,http://www.gemeentegeschiedenis.nl/amco/10415,10415,,0,1818,1823,Utrecht
Tull en 't Waal,http://www.gemeentegeschiedenis.nl/gemeentenaam/Tull_en_t_Waal,http://www.gemeentegeschiedenis.nl/amco/11022,11022,1205,0,1818,1962,Utrecht
Utrecht,http://www.gemeentegeschiedenis.nl/gemeentenaam/Utrecht,http://www.gemeentegeschiedenis.nl/amco/10722,10722,344,2745911,oudsher,heden,Utrecht
Utrechtse Heuvelrug,http://www.gemeentegeschiedenis.nl/gemeentenaam/Utrechtse_Heuvelrug,http://www.gemeentegeschiedenis.nl/amco/10777,10777,1581,2756685,2006,heden,Utrecht
Veenendaal,http://www.gemeentegeschiedenis.nl/gemeentenaam/Veenendaal,http://www.gemeentegeschiedenis.nl/amco/11052,11052,345,2745773,oudsher,heden,Utrecht
Veldhuizen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Veldhuizen,http://www.gemeentegeschiedenis.nl/amco/10713,10713,1207,0,1818,1954,Utrecht
Vianen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Vianen,http://www.gemeentegeschiedenis.nl/amco/10887,10887,620,2745579,oudsher,heden,Utrecht
Vinkeveen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Vinkeveen,http://www.gemeentegeschiedenis.nl/amco/11048,11048,1387,0,oudsher,1841,Utrecht
Vinkeveen en Waverveen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Vinkeveen_en_Waverveen,http://www.gemeentegeschiedenis.nl/amco/11048,11048,346,0,1841,1989,Utrecht
Vleuten,http://www.gemeentegeschiedenis.nl/gemeentenaam/Vleuten,http://www.gemeentegeschiedenis.nl/amco/10658,10658,1211,0,oudsher,1954,Utrecht
