naam,uri_naam,uri_amco,amco,cbs_code,geonames,startjaar,eindjaar,provincie
Jorwerd,http://www.gemeentegeschiedenis.nl/gemeentenaam/Jorwerd,http://www.gemeentegeschiedenis.nl/amco/11251,11251,,0,oudsher,1816,Friesland
Joure,http://www.gemeentegeschiedenis.nl/gemeentenaam/Joure,http://www.gemeentegeschiedenis.nl/amco/10022,10022,,0,oudsher,1816,Friesland
De Knijpe,http://www.gemeentegeschiedenis.nl/gemeentenaam/De_Knijpe,http://www.gemeentegeschiedenis.nl/amco/11018,11018,,0,oudsher,1816,Friesland
Kollum,http://www.gemeentegeschiedenis.nl/gemeentenaam/Kollum,http://www.gemeentegeschiedenis.nl/amco/10984,10984,,0,oudsher,1816,Friesland
Kollumerland en Nieuwkruisland,http://www.gemeentegeschiedenis.nl/gemeentenaam/Kollumerland_en_Nieuwkruisland,http://www.gemeentegeschiedenis.nl/amco/10984,10984,79,2752523,1816,heden,Friesland
Koudum,http://www.gemeentegeschiedenis.nl/gemeentenaam/Koudum,http://www.gemeentegeschiedenis.nl/amco/10334,10334,,0,oudsher,1816,Friesland
Langezwaag,http://www.gemeentegeschiedenis.nl/gemeentenaam/Langezwaag,http://www.gemeentegeschiedenis.nl/amco/10770,10770,,0,oudsher,1816,Friesland
Langweer,http://www.gemeentegeschiedenis.nl/gemeentenaam/Langweer,http://www.gemeentegeschiedenis.nl/amco/10086,10086,,0,oudsher,1816,Friesland
Leeuwarden,http://www.gemeentegeschiedenis.nl/gemeentenaam/Leeuwarden,http://www.gemeentegeschiedenis.nl/amco/11228,11228,80,2751791,oudsher,heden,Friesland
Leeuwarderadeel,http://www.gemeentegeschiedenis.nl/gemeentenaam/Leeuwarderadeel,http://www.gemeentegeschiedenis.nl/amco/10851,10851,81,2751790,1816,heden,Friesland
Lemmer,http://www.gemeentegeschiedenis.nl/gemeentenaam/Lemmer,http://www.gemeentegeschiedenis.nl/amco/10142,10142,,0,oudsher,1816,Friesland
Lemsterland,http://www.gemeentegeschiedenis.nl/gemeentenaam/Lemsterland,http://www.gemeentegeschiedenis.nl/amco/10142,10142,82,2751721,1816,heden,Friesland
Lippenhuizen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Lippenhuizen,http://www.gemeentegeschiedenis.nl/amco/10507,10507,,0,oudsher,1816,Friesland
Littenseradeel,http://www.gemeentegeschiedenis.nl/gemeentenaam/Littenseradeel,http://www.gemeentegeschiedenis.nl/amco/10422,10422,103,0,1984,1985,Friesland
Littenseradiel,http://www.gemeentegeschiedenis.nl/gemeentenaam/Littenseradiel,http://www.gemeentegeschiedenis.nl/amco/10422,10422,140,6544300,1985,heden,Friesland
Makkum,http://www.gemeentegeschiedenis.nl/gemeentenaam/Makkum,http://www.gemeentegeschiedenis.nl/amco/10926,10926,,0,oudsher,1816,Friesland
Marrum,http://www.gemeentegeschiedenis.nl/gemeentenaam/Marrum,http://www.gemeentegeschiedenis.nl/amco/10475,10475,,0,oudsher,1816,Friesland
Marsum,http://www.gemeentegeschiedenis.nl/gemeentenaam/Marsum,http://www.gemeentegeschiedenis.nl/amco/10778,10778,,0,oudsher,1816,Friesland
Menaldum,http://www.gemeentegeschiedenis.nl/gemeentenaam/Menaldum,http://www.gemeentegeschiedenis.nl/amco/11144,11144,,0,oudsher,1816,Friesland
Menaldumadeel,http://www.gemeentegeschiedenis.nl/gemeentenaam/Menaldumadeel,http://www.gemeentegeschiedenis.nl/amco/11144,11144,83,0,1816,heden,Friesland
Menameradiel,http://www.gemeentegeschiedenis.nl/gemeentenaam/Menameradiel,http://www.gemeentegeschiedenis.nl/amco/11144,11144,1908,8260048,2011,heden,Friesland
Metslawier,http://www.gemeentegeschiedenis.nl/gemeentenaam/Metslawier,http://www.gemeentegeschiedenis.nl/amco/11102,11102,,0,oudsher,1816,Friesland
Mildam,http://www.gemeentegeschiedenis.nl/gemeentenaam/Mildam,http://www.gemeentegeschiedenis.nl/amco/11175,11175,,0,oudsher,1816,Friesland
Minnertsga,http://www.gemeentegeschiedenis.nl/gemeentenaam/Minnertsga,http://www.gemeentegeschiedenis.nl/amco/10328,10328,,0,oudsher,1816,Friesland
Nes,http://www.gemeentegeschiedenis.nl/gemeentenaam/Nes,http://www.gemeentegeschiedenis.nl/amco/10274,10274,,0,oudsher,1816,Friesland
Nijefurd,http://www.gemeentegeschiedenis.nl/gemeentenaam/Nijefurd,http://www.gemeentegeschiedenis.nl/amco/10768,10768,104,0,1984,2011,Friesland
Nijland,http://www.gemeentegeschiedenis.nl/gemeentenaam/Nijland,http://www.gemeentegeschiedenis.nl/amco/11321,11321,,0,oudsher,1816,Friesland
Noordwolde,http://www.gemeentegeschiedenis.nl/gemeentenaam/Noordwolde,http://www.gemeentegeschiedenis.nl/amco/11322,11322,,0,oudsher,1816,Friesland
Oenkerk,http://www.gemeentegeschiedenis.nl/gemeentenaam/Oenkerk,http://www.gemeentegeschiedenis.nl/amco/10739,10739,,0,oudsher,1816,Friesland
Oldeboorn,http://www.gemeentegeschiedenis.nl/gemeentenaam/Oldeboorn,http://www.gemeentegeschiedenis.nl/amco/11368,11368,,0,oudsher,1816,Friesland
Oostdongeradeel,http://www.gemeentegeschiedenis.nl/gemeentenaam/Oostdongeradeel,http://www.gemeentegeschiedenis.nl/amco/11102,11102,84,0,1816,1984,Friesland
Oosterend,http://www.gemeentegeschiedenis.nl/gemeentenaam/Oosterend,http://www.gemeentegeschiedenis.nl/amco/10877,10877,,0,oudsher,1816,Friesland
Oostermeer,http://www.gemeentegeschiedenis.nl/gemeentenaam/Oostermeer,http://www.gemeentegeschiedenis.nl/amco/11161,11161,,0,oudsher,1816,Friesland
Oosterwolde [Fr],http://www.gemeentegeschiedenis.nl/gemeentenaam/Oosterwolde_Fr,http://www.gemeentegeschiedenis.nl/amco/10836,10836,,0,oudsher,1816,Friesland
Oosterzee,http://www.gemeentegeschiedenis.nl/gemeentenaam/Oosterzee,http://www.gemeentegeschiedenis.nl/amco/11201,11201,,0,oudsher,1816,Friesland
Ooststellingwerf,http://www.gemeentegeschiedenis.nl/gemeentenaam/Ooststellingwerf,http://www.gemeentegeschiedenis.nl/amco/10836,10836,85,2749339,1816,heden,Friesland
Opsterland,http://www.gemeentegeschiedenis.nl/gemeentenaam/Opsterland,http://www.gemeentegeschiedenis.nl/amco/10005,10005,86,2749277,1816,heden,Friesland
Oudeberkoop,http://www.gemeentegeschiedenis.nl/gemeentenaam/Oudeberkoop,http://www.gemeentegeschiedenis.nl/amco/10386,10386,,0,oudsher,1816,Friesland
Oudega,http://www.gemeentegeschiedenis.nl/gemeentenaam/Oudega,http://www.gemeentegeschiedenis.nl/amco/10472,10472,,0,oudsher,1816,Friesland
Oudwoude,http://www.gemeentegeschiedenis.nl/gemeentenaam/Oudwoude,http://www.gemeentegeschiedenis.nl/amco/10353,10353,,0,oudsher,1816,Friesland
Rauwerd,http://www.gemeentegeschiedenis.nl/gemeentenaam/Rauwerd,http://www.gemeentegeschiedenis.nl/amco/10330,10330,,0,oudsher,1816,Friesland
Rauwerderhem,http://www.gemeentegeschiedenis.nl/gemeentenaam/Rauwerderhem,http://www.gemeentegeschiedenis.nl/amco/10330,10330,87,0,1816,1984,Friesland
Rinsumageest,http://www.gemeentegeschiedenis.nl/gemeentenaam/Rinsumageest,http://www.gemeentegeschiedenis.nl/amco/11096,11096,,0,oudsher,1816,Friesland
Roordahuizum,http://www.gemeentegeschiedenis.nl/gemeentenaam/Roordahuizum,http://www.gemeentegeschiedenis.nl/amco/10815,10815,,0,oudsher,1816,Friesland
Scharsterland,http://www.gemeentegeschiedenis.nl/gemeentenaam/Scharsterland,http://www.gemeentegeschiedenis.nl/amco/10022,10022,139,0,1984,1985,Friesland
Schiermonnikoog,http://www.gemeentegeschiedenis.nl/gemeentenaam/Schiermonnikoog,http://www.gemeentegeschiedenis.nl/amco/10355,10355,88,2747589,oudsher,heden,Friesland
Schoterland,http://www.gemeentegeschiedenis.nl/gemeentenaam/Schoterland,http://www.gemeentegeschiedenis.nl/amco/10680,10680,1174,0,1816,1934,Friesland
Sexbierum,http://www.gemeentegeschiedenis.nl/gemeentenaam/Sexbierum,http://www.gemeentegeschiedenis.nl/amco/10156,10156,,0,oudsher,1816,Friesland
Sint Annaparochie,http://www.gemeentegeschiedenis.nl/gemeentenaam/Sint_Annaparochie,http://www.gemeentegeschiedenis.nl/amco/10128,10128,,0,oudsher,1816,Friesland
Sint Jacobiparochie,http://www.gemeentegeschiedenis.nl/gemeentenaam/Sint_Jacobiparochie,http://www.gemeentegeschiedenis.nl/amco/10951,10951,,0,oudsher,1816,Friesland
Sint Johannesga,http://www.gemeentegeschiedenis.nl/gemeentenaam/Sint_Johannesga,http://www.gemeentegeschiedenis.nl/amco/10813,10813,,0,oudsher,1816,Friesland
Skarsterlân,http://www.gemeentegeschiedenis.nl/gemeentenaam/Skarsterlan,http://www.gemeentegeschiedenis.nl/amco/10022,10022,51,6544303,1985,heden,Friesland
Sloten [Fr],http://www.gemeentegeschiedenis.nl/gemeentenaam/Sloten_Fr,http://www.gemeentegeschiedenis.nl/amco/10867,10867,89,0,oudsher,1984,Friesland
Smallingerland,http://www.gemeentegeschiedenis.nl/gemeentenaam/Smallingerland,http://www.gemeentegeschiedenis.nl/amco/10405,10405,90,2747091,1816,heden,Friesland
Sneek,http://www.gemeentegeschiedenis.nl/gemeentenaam/Sneek,http://www.gemeentegeschiedenis.nl/amco/11421,11421,91,0,oudsher,2011,Friesland
Sonnega,http://www.gemeentegeschiedenis.nl/gemeentenaam/Sonnega,http://www.gemeentegeschiedenis.nl/amco/10937,10937,,0,oudsher,1816,Friesland
Staveren,http://www.gemeentegeschiedenis.nl/gemeentenaam/Staveren,http://www.gemeentegeschiedenis.nl/amco/10240,10240,1257,0,oudsher,1979,Friesland
Stavoren,http://www.gemeentegeschiedenis.nl/gemeentenaam/Stavoren,http://www.gemeentegeschiedenis.nl/amco/10240,10240,92,0,1979,1984,Friesland
Stiens,http://www.gemeentegeschiedenis.nl/gemeentenaam/Stiens,http://www.gemeentegeschiedenis.nl/amco/10851,10851,,0,oudsher,1816,Friesland
Súdwest Fryslân,http://www.gemeentegeschiedenis.nl/gemeentenaam/Sudwest_Fryslan,http://www.gemeentegeschiedenis.nl/amco/11421,11421,1900,8260049,2011,heden,Friesland
Surhuizum,http://www.gemeentegeschiedenis.nl/gemeentenaam/Surhuizum,http://www.gemeentegeschiedenis.nl/amco/11326,11326,,0,oudsher,1816,Friesland
Ternaard,http://www.gemeentegeschiedenis.nl/gemeentenaam/Ternaard,http://www.gemeentegeschiedenis.nl/amco/10129,10129,,0,oudsher,1816,Friesland
Terschelling,http://www.gemeentegeschiedenis.nl/gemeentenaam/Terschelling,http://www.gemeentegeschiedenis.nl/amco/11210,11210,93,2746412,oudsher,heden,Friesland
Tietjerksteradeel,http://www.gemeentegeschiedenis.nl/gemeentenaam/Tietjerksteradeel,http://www.gemeentegeschiedenis.nl/amco/11241,11241,94,0,1816,1989,Friesland
Tjalleberd,http://www.gemeentegeschiedenis.nl/gemeentenaam/Tjalleberd,http://www.gemeentegeschiedenis.nl/amco/10157,10157,,0,oudsher,1816,Friesland
Tjerkwerd,http://www.gemeentegeschiedenis.nl/gemeentenaam/Tjerkwerd,http://www.gemeentegeschiedenis.nl/amco/11196,11196,,0,oudsher,1816,Friesland
Tjum,http://www.gemeentegeschiedenis.nl/gemeentenaam/Tjum,http://www.gemeentegeschiedenis.nl/amco/10404,10404,,0,oudsher,1816,Friesland
Tytsjerksteradiel,http://www.gemeentegeschiedenis.nl/gemeentenaam/Tytsjerksteradiel,http://www.gemeentegeschiedenis.nl/amco/11241,11241,737,6544304,1989,heden,Friesland
Ureterp,http://www.gemeentegeschiedenis.nl/gemeentenaam/Ureterp,http://www.gemeentegeschiedenis.nl/amco/10005,10005,,0,oudsher,1816,Friesland
Utingeradeel,http://www.gemeentegeschiedenis.nl/gemeentenaam/Utingeradeel,http://www.gemeentegeschiedenis.nl/amco/10140,10140,95,0,1816,1984,Friesland
Veenwouden,http://www.gemeentegeschiedenis.nl/gemeentenaam/Veenwouden,http://www.gemeentegeschiedenis.nl/amco/10032,10032,,0,oudsher,1816,Friesland
