naam,uri_naam,uri_amco,amco,cbs_code,geonames,startjaar,eindjaar,provincie
Huijbergen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Huijbergen,http://www.gemeentegeschiedenis.nl/amco/10466,10466,803,0,oudsher,1997,Noord-Brabant
Huisseling en Neerloon,http://www.gemeentegeschiedenis.nl/gemeentenaam/Huisseling_en_Neerloon,http://www.gemeentegeschiedenis.nl/amco/10049,10049,1088,0,oudsher,1923,Noord-Brabant
Kessel [NB],http://www.gemeentegeschiedenis.nl/gemeentenaam/Kessel_NB,http://www.gemeentegeschiedenis.nl/amco/10625,10625,,0,oudsher,1821,Noord-Brabant
Klundert,http://www.gemeentegeschiedenis.nl/gemeentenaam/Klundert,http://www.gemeentegeschiedenis.nl/amco/10656,10656,804,0,oudsher,1997,Noord-Brabant
Laarbeek,http://www.gemeentegeschiedenis.nl/gemeentenaam/Laarbeek,http://www.gemeentegeschiedenis.nl/amco/10173,10173,1659,6544266,1997,heden,Noord-Brabant
Landerd,http://www.gemeentegeschiedenis.nl/gemeentenaam/Landerd,http://www.gemeentegeschiedenis.nl/amco/10276,10276,1685,6544292,1994,heden,Noord-Brabant
Leende,http://www.gemeentegeschiedenis.nl/gemeentenaam/Leende,http://www.gemeentegeschiedenis.nl/amco/11017,11017,805,0,oudsher,1997,Noord-Brabant
Liempde,http://www.gemeentegeschiedenis.nl/gemeentenaam/Liempde,http://www.gemeentegeschiedenis.nl/amco/10390,10390,806,0,oudsher,1996,Noord-Brabant
Lierop,http://www.gemeentegeschiedenis.nl/gemeentenaam/Lierop,http://www.gemeentegeschiedenis.nl/amco/11279,11279,1102,0,oudsher,1935,Noord-Brabant
Lieshout,http://www.gemeentegeschiedenis.nl/gemeentenaam/Lieshout,http://www.gemeentegeschiedenis.nl/amco/10637,10637,807,0,oudsher,1997,Noord-Brabant
Linden,http://www.gemeentegeschiedenis.nl/gemeentenaam/Linden,http://www.gemeentegeschiedenis.nl/amco/11305,11305,1103,0,oudsher,1942,Noord-Brabant
Lith,http://www.gemeentegeschiedenis.nl/gemeentenaam/Lith,http://www.gemeentegeschiedenis.nl/amco/11219,11219,808,0,oudsher,2011,Noord-Brabant
Lithoijen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Lithoijen,http://www.gemeentegeschiedenis.nl/amco/10024,10024,1104,0,oudsher,1939,Noord-Brabant
Loon op Zand,http://www.gemeentegeschiedenis.nl/gemeentenaam/Loon_op_Zand,http://www.gemeentegeschiedenis.nl/amco/11259,11259,809,2751455,oudsher,heden,Noord-Brabant
Luyksgestel,http://www.gemeentegeschiedenis.nl/gemeentenaam/Luyksgestel,http://www.gemeentegeschiedenis.nl/amco/10011,10011,810,0,oudsher,1997,Noord-Brabant
Maarheeze,http://www.gemeentegeschiedenis.nl/gemeentenaam/Maarheeze,http://www.gemeentegeschiedenis.nl/amco/11143,11143,811,0,oudsher,1997,Noord-Brabant
Maasdonk,http://www.gemeentegeschiedenis.nl/gemeentenaam/Maasdonk,http://www.gemeentegeschiedenis.nl/amco/10370,10370,1671,6544283,1993,heden,Noord-Brabant
Maashees en Overloon,http://www.gemeentegeschiedenis.nl/gemeentenaam/Maashees_en_Overloon,http://www.gemeentegeschiedenis.nl/amco/10532,10532,1109,0,oudsher,1942,Noord-Brabant
Made,http://www.gemeentegeschiedenis.nl/gemeentenaam/Made,http://www.gemeentegeschiedenis.nl/amco/10258,10258,1665,0,1997,1998,Noord-Brabant
Made en Drimmelen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Made_en_Drimmelen,http://www.gemeentegeschiedenis.nl/amco/10258,10258,812,2751271,oudsher,1997,Noord-Brabant
Maren,http://www.gemeentegeschiedenis.nl/gemeentenaam/Maren,http://www.gemeentegeschiedenis.nl/amco/10495,10495,,0,oudsher,1821,Noord-Brabant
Meeuwen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Meeuwen,http://www.gemeentegeschiedenis.nl/amco/10216,10216,1111,0,1908,1923,Noord-Brabant
"Meeuwen, Hill en Babyloniënbroek",http://www.gemeentegeschiedenis.nl/gemeentenaam/Meeuwen__Hill_en_Babylonienbroek,http://www.gemeentegeschiedenis.nl/amco/10216,10216,1264,0,oudsher,1908,Noord-Brabant
Megen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Megen,http://www.gemeentegeschiedenis.nl/amco/10988,10988,,0,oudsher,1821,Noord-Brabant
"Megen, Haren en Macharen",http://www.gemeentegeschiedenis.nl/gemeentenaam/Megen__Haren_en_Macharen,http://www.gemeentegeschiedenis.nl/amco/10988,10988,813,0,1821,1994,Noord-Brabant
Mierlo,http://www.gemeentegeschiedenis.nl/gemeentenaam/Mierlo,http://www.gemeentegeschiedenis.nl/amco/10215,10215,814,0,oudsher,2004,Noord-Brabant
